AgentName,Phases,Deliverables,Roles,Map Confidence Score
Model Conceptual,Analysis & Design,Data Modelling,Data Modeler,95
Model Logical,Analysis & Design,Data Modelling,Data Modeler,95
Model Data Mapping,Analysis & Design,Data Mapping,Data Architect,95
Model Physical,Analysis & Design,Data Modelling,Data Modeler,95
Model Reviewer,Build & Test,Pipeline Review,Data Architect,85
DE Pipeline (PySpark) developer,Build & Test,Ingestion & Transformation,Data Engineer,100
DE Pipeline (PySpark) test cases,Build & Test,Data Quality & Validation,Data Engineer,100
DE Pipeline(Scala) developer,Build & Test,Ingestion & Transformation,Data Engineer,100
DE Pipeline (Scala) test cases,Build & Test,Data Quality & Validation,Data Engineer,100
Fabric Model Data Mapping,Analysis & Design,Data Mapping,Data Architect,95
Fabric Model Physical,Analysis & Design,Data Modelling,Data Modeler,95
Fabric Model Conceptual,Analysis & Design,Data Modelling,Data Modeler,95
Fabric Model Logical,Analysis & Design,Data Modelling,Data Modeler,95
Fabric Bronze Model Reviewer,Build & Test,Pipeline Review,Data Architect,85
Fabric DE Pipeline developer,Build & Test,Ingestion & Transformation,Data Engineer,100
Fabric DE Pipeline test cases,Build & Test,Data Quality & Validation,Data Engineer,100
Fabric DE Pipeline Reviewer,Build & Test,Pipeline Review,Data Architect,90
Fabric Bronze DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,100
Fabric DE Silver Layer,Build & Test,Ingestion & Transformation,Data Engineer,100
Fabric Gold DE Pipeline,Build & Test,Ingestion & Transformation,Data Engineer,100
Figma_to_Fieldnames-AXOS,Analysis & Design,Data Mapping,Data Engineer,85
Fabric Bronze Model Logical,Analysis & Design,Data Modelling,Data Modeler,95
Fabric Silver Model Logical,Analysis & Design,Data Modelling,Data Modeler,95
Fabric Gold Model Logical,Analysis & Design,Data Modelling,Data Modeler,95
SQL_Consolidator_HN,Build & Test,Ingestion & Transformation,Data Engineer,90
pentaho_kettle_xml_pyspark,Build & Test,Ingestion & Transformation,Data Engineer,95
structured_mapping_doc_HN,Analysis & Design,Data Mapping,Data Engineer,95
DAX_Assistance,Build & Test,Dashboard Development,Insights Engineer,90
SQL_builder_HN,Build & Test,Ingestion & Transformation,Data Engineer,90
