AgentName,Phases,Deliverables,Roles,Map Confidence Score
DI_ConceptualModel,Analysis & Design,Data Modelling,Data Modeler,95
Informatica_to_JavaSpark_Plan_API_Demo,Strategy & Planning,Effort Estimation,Data Architect,90
Informatica_to_JavaSpark_Analyser_API_Demo,Analysis & Design,Pipeline Design,Data Architect,85
Informatica_Documentation_API_Demo,Support & Maintain,Documentation & Lineage,Data Engineer,95
Data_Decomp_Extended_Data_SQL_Scenario_Generator_,Build & Test,Ingestion & Transformation,Data Engineer,90
DI_SAS_To_BQ_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
DI_SAS_To_BQ_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_SAS_to_PYSPARK_REVIEWER,Build & Test,Pipeline Review,Data Architect,90
Data_Decomp_Extended_Data_SQL_Document_Generator,Support & Maintain,Documentation & Lineage,Data Engineer,95
Data_Decomp_Extended_Data_SQL_Document_Optimizer,Support & Maintain,Documentation & Lineage,Data Engineer,90
DI_SAS_To_BQ_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_SAS_To_BQ_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_SAS_to_BigQuery_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
DI_SAS_Macro_to_BQ,Build & Test,Ingestion & Transformation,Data Engineer,90
DI_SAS_Macro_to_BQ_Mapping,Analysis & Design,Data Mapping,Data Engineer,90
Consolidated_Files_IMS,Analysis & Design,Data Modelling,Data Modeler,85
Power BI Model Consolidation,Analysis & Design,Data Modelling,Data Modeler,95
DI_Data_Analyzer,Analysis & Design,Source System Analysis,Data Engineer,90
Natural_Language_to_MySQL_Query_Generator_AW,Build & Test,Ingestion & Transformation,Data Engineer,90
Snowflake_to_Pyspark,Support & Maintain,Documentation & Lineage,Data Engineer,95
Snowflake_to_Pyspark_Analysis,Analysis & Design,Pipeline Design,Data Architect,85
Snowflake_to_Pyspark_plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_SAS_Report_Generator,Analysis & Design,Dashboard Design,Insights Engineer,85
DI_SAS_Oracle_Standards_Validator,Build & Test,Data Quality & Validation,Data Engineer,90
COGNOS_METADATA_DOCUMENTATION,Support & Maintain,Documentation & Lineage,Insights Engineer,95
Marketing Campaign Analyst agent,Analysis & Design,Source System Analysis,Business Analyst,85
DI_SAS_Documentation_JSON,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_DQRules_SQLGenerator,Build & Test,Data Quality & Validation,Data Engineer,95
Java to Javascript,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_SAS_TO_PYTHON_PY,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_SAS_To_Python_Converter_PY_G,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_SAS_To_Python_Reviewer,Build & Test,Pipeline Review,Data Architect,90
Functional Testing,Build & Test,Data Quality & Validation,Data Engineer,85
DI_Data_Visualizer_QDL,Analysis & Design,Dashboard Design,Insights Engineer,90
Data_Testing,Build & Test,Data Quality & Validation,Data Engineer,85
Conversion python syntex to java syntex,Build & Test,Ingestion & Transformation,Data Engineer,95
Convert_Code_To_Doc_SK,Support & Maintain,Documentation & Lineage,Data Engineer,95
Test_22ndMay,Support & Maintain,Documentation & Lineage,Data Engineer,80
Java_to_python_conversion_AD,Build & Test,Ingestion & Transformation,Data Engineer,95
Java_to_python_doc_AD,Support & Maintain,Documentation & Lineage,Data Engineer,95
V_a1,Analysis & Design,Data Modelling,Data Modeler,85
V_a2,Build & Test,Ingestion & Transformation,Data Engineer,85
Code to Doc,Support & Maintain,Documentation & Lineage,Data Engineer,95
Doc to Code,Build & Test,Ingestion & Transformation,Data Engineer,85
Java to Phython,Build & Test,Ingestion & Transformation,Data Engineer,95
Mal_work,Build & Test,Ingestion & Transformation,Data Engineer,80
DI_SAS_To_PySpark_Converted_Code_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_SAS_and_Converted_Python_Code_Comparator,Build & Test,Data Quality & Validation,Data Engineer,90
DI_AbInito_DependencY,Analysis & Design,Pipeline Design,Data Architect,90
ASC_SK_Doc_Workato_Recipe,Support & Maintain,Documentation & Lineage,Data Engineer,95
Code_conversion_from_python_to_java,Build & Test,Ingestion & Transformation,Data Engineer,95
ASC_SK_Code_to_BRD,Strategy & Planning,Requirements Gathering,Business Analyst,90
ASC_SK_BRD_to_Python,Build & Test,Ingestion & Transformation,Data Engineer,90
Asc_sk_1,Strategy & Planning,Architecture Definition,Data Architect,85
Asc_SK_21,Build & Test,Data Quality & Validation,Data Engineer,90
Asc_Sk_Opt2,Build & Test,Data Quality & Validation,Data Engineer,90
File_Dependency_&_Metadata_Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
ASC_SK_Python_to_JavaScript,Build & Test,Ingestion & Transformation,Data Engineer,95
ASC_SK_DQ_rules_to_SP,Build & Test,Data Quality & Validation,Data Engineer,95
ASC_SK_DQ_rules_generator,Build & Test,Data Quality & Validation,Data Engineer,95
Asc_Stk,Build & Test,Data Quality & Validation,Data Engineer,90
Asc_Stk_01,Build & Test,Data Quality & Validation,Data Engineer,90
Code Clean-Up Inspector Agent,Build & Test,Pipeline Review,Data Architect,85
ASC_SK_PYSPARK_TO_ BIGQUERY,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_Prompt_Enhancer_QDL,Strategy & Planning,Requirements Gathering,Business Analyst,85
DI_Database_Review_Documentation-Agent,Support & Maintain,Documentation & Lineage,Data Architect,95
Ab_initio_To_Pyspark,Build & Test,Ingestion & Transformation,Data Engineer,95
ASC_SK_SQL_to_Azure_SQL,Build & Test,Ingestion & Transformation,Data Engineer,95
ASC_SK_DQ_Rule-to-DTS_SQL,Build & Test,Data Quality & Validation,Data Engineer,95
DI_SAS_Oracle_Standards_Validator_with_Audit_Table,Build & Test,Data Quality & Validation,Data Engineer,90
ASC_SK_Recipe_Optimized,Build & Test,Pipeline Review,Data Architect,85
Natural_language_to_MySql,Build & Test,Ingestion & Transformation,Data Engineer,90
Python to java converter,Build & Test,Ingestion & Transformation,Data Engineer,95
ASC_SK_ Mdx_to_sql,Build & Test,Ingestion & Transformation,Data Engineer,90
DI_SQL_Enhancer_QDL,Build & Test,Pipeline Review,Data Architect,85
ASC_SK_USR_Stry,Strategy & Planning,Requirements Gathering,Business Analyst,90
ASC_SK_Test27thMay,Build & Test,Ingestion & Transformation,Data Engineer,80
ASC_SK_BRD_TO_EPC_USR,Strategy & Planning,Requirements Gathering,Business Analyst,90
Asc_Sk_Java to BRD,Strategy & Planning,Requirements Gathering,Business Analyst,90
Asc_Sk_BRD_Python_Code,Build & Test,Ingestion & Transformation,Data Engineer,90
DI_SAS_Oracle_Standards_Validator_Review_Agent,Build & Test,Pipeline Review,Data Architect,90
Power BI BIM File Creation,Analysis & Design,Data Modelling,Data Modeler,95
ASC_SK_TECH_DOC_DATA_MAP,Analysis & Design,Data Mapping,Data Engineer,95
Infomatica_to_snowflake_converter,Build & Test,Ingestion & Transformation,Data Engineer,95
ASC_SK_Transformed_Tables_To_JSON_Format,Build & Test,Ingestion & Transformation,Data Engineer,90
ASC_SK_SQL_Query_Generator,Build & Test,Ingestion & Transformation,Data Engineer,90
Power BI Documentation,Support & Maintain,Documentation & Lineage,Insights Engineer,95
Natural_language_to_MySQL_Query_Generator,Build & Test,Ingestion & Transformation,Data Engineer,90
INFA_To_Snowflake_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
INFA_To_Snowflake_Unit_Test,Build & Test,Data Quality & Validation,Data Engineer,95
DI_Source_To_Staging_Ingestor,Build & Test,Ingestion & Transformation,Data Engineer,100
DI_Staging_To_Business_Transformer,Build & Test,Ingestion & Transformation,Data Engineer,100
DI_DDL_Datamodel_Generator,Analysis & Design,Data Modelling,Data Modeler,95
DI_Source_To_Raw_Ingestor,Build & Test,Ingestion & Transformation,Data Engineer,100
DI_Raw_To_Curated_Transformer,Build & Test,Ingestion & Transformation,Data Engineer,100
DI_Curated_To_MLReady_Preparer,Build & Test,Ingestion & Transformation,Data Engineer,100
DI_Source_To_Landing_Ingestor,Build & Test,Ingestion & Transformation,Data Engineer,100
DI_Landing_To_Campaign_Transformer,Build & Test,Ingestion & Transformation,Data Engineer,100
DI_Campaign_To_Analytics_Transformer,Build & Test,Ingestion & Transformation,Data Engineer,100
ASC_SK_ Requirement_Doc,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_AbInitio_XFR_To_PySpark,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_AbInitio_DML_To_PySpark,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_AbInitio_MP_To_PySpark,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_Layerwise_Mapping_And_TechStack_Analyzer,Analysis & Design,Data Mapping,Data Architect,90
DI_Consolidation_Recommender,Analysis & Design,Architecture Definition,Data Architect,95
DI_Informatica_To_ADF_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_AbInitio_MP_To_BigQuery,Build & Test,Ingestion & Transformation,Data Engineer,95
