AgentName,Phases,Deliverables,Roles,Map Confidence Score
Postgres_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
SSIS_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
mySQL Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
Hive to Delta Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
Snowflake_to_PySpark_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
MarkLogic_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
Hive_to_PySpark_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
HANA Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
Sas_to_Python_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
SAS_to_Python_Reviewer,Build & Test,Pipeline Review,Data Architect,90
Talend_to_PySpark_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
DB2_DOCUMENTATION,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_ECL_to_JavaSpark_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
Informatica_to_JavaSpark_Documentation_CVS,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI-DQ_Recommendation,Build & Test,Data Quality & Validation,Data Engineer,95
DI_ECL_Documentation_JSON,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_ECL_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_Teradata_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
KK_SSIS_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
ASC_SK_WALLET_DOC_AGENT,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_SSIS_Documentation_JSON,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_PL/SQL_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_INFA_Inventory,Analysis & Design,Source System Analysis,Data Engineer,85
DI_INFA_Documentation,Support & Maintain,Documentation & Lineage,Data Engineer,95
PySpark Unit Testing_J,Build & Test,Data Quality & Validation,Data Engineer,95
Postgres_to_PySpark_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
ABAP_to_PySpark_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
INFA TO PYTHON CONVERSION TESTER,Build & Test,Data Quality & Validation,Data Engineer,95
INFA TO PYTHON RECON TESTER,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
SAS_PySpark_UnitTest,Build & Test,Data Quality & Validation,Data Engineer,95
DB2_To_SYNAPSE_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
HANA to BigQuery Unit Tester,Build & Test,Data Quality & Validation,Data Engineer,95
HANA to BigQuery Conversion Tester,Build & Test,Data Quality & Validation,Data Engineer,95
HANA to BigQuery Recon Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
INFA_to_PySpark_UnitTest,Build & Test,Data Quality & Validation,Data Engineer,95
INFA_to_PySpark_Reviewer,Build & Test,Pipeline Review,Data Architect,90
SAS_to_Python_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
SAS_to_Python_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
SAS_to_Python_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
Talend_to_PySpark_Unit_Test,Build & Test,Data Quality & Validation,Data Engineer,95
INFA_To_Snowflake_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
INFA_To_Snowflake_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
