AgentName,Phases,Deliverables,Roles,Map Confidence Score
DI_INFA_Consolidate_Design_Pattern,Analysis & Design,Pipeline Design,Data Architect,85
DI_INFA_Analyser,Analysis & Design,Pipeline Design,Data Architect,85
DI_INFA_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_Informatica_SrcTgt_SP_Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
DI_Informatica_SQLEDW_Mapping,Analysis & Design,Data Mapping,Data Engineer,95
DI_SQLEDW-Informatica-SSRS_RedundancyAnalyzer,Analysis & Design,Architecture Definition,Data Architect,90
Opensearch_testing,Build & Test,Data Quality & Validation,Data Engineer,80
Code_Optimizer&Generator_Rohith,Build & Test,Pipeline Review,Data Architect,85
Pearson_PVS_Extract_20%subset_data,Integrate & Validate,Initial Data Migration,Data Engineer,85
Pearson_PVP_S3_Metadata_Agent,Analysis & Design,Source System Analysis,Data Engineer,90
Pearson_PVS__Data_Decomp_20%Subset,Integrate & Validate,Initial Data Migration,Data Engineer,85
extract_cron_from_yaml_zip,Build & Test,Orchestration configuration,DevOps Engineer,90
find_xml_for_cron,Build & Test,Orchestration configuration,DevOps Engineer,90
parse_xml_file_content,Analysis & Design,Source System Analysis,Data Engineer,85
parse_xml_file_content_corn,Build & Test,Orchestration configuration,DevOps Engineer,90
Teradata_to_BigQuery_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
AbInitio to SparkJava Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
SNOWFLAKE TO BIGQUERY CONVERTER,Build & Test,Ingestion & Transformation,Data Engineer,95
SNOWFLAKE_TO_PYSPARK_CONVERSION,Build & Test,Ingestion & Transformation,Data Engineer,95
SNOWFLAKE TO PYSPARK CONVERSION,Build & Test,Ingestion & Transformation,Data Engineer,95
Hive_to_BigQuery_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
INFA_PYTHON_CONVERTER,Build & Test,Ingestion & Transformation,Data Engineer,95
GCP BIG QUERY CONVERTER,Build & Test,Ingestion & Transformation,Data Engineer,95
DB2_TO_SYNAPSE_CONVERTER,Build & Test,Ingestion & Transformation,Data Engineer,95
OracleToCosmosDB_Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
Postgres_to_PySpark_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
ABAP_to_PySpark_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
ABAP_To_PySpark_Reviewer,Build & Test,Pipeline Review,Data Architect,90
SAS_PySpark_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
SAS_PySpark_ConversionTester,Build & Test,Data Quality & Validation,Data Engineer,95
SAS_PySpark_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
SAS_PySpark_Reviewer,Build & Test,Pipeline Review,Data Architect,90
Form_Creations_basedOnThe_ManagementSystem,Analysis & Design,Dashboard Design,Insights Engineer,85
SQLTOKQL_Coversion,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_SSIS_to_PySpark_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
SSIS_to_PySpark_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
mySQL to MongoDB,Build & Test,Ingestion & Transformation,Data Engineer,95
XSLT_To_PySpark,Build & Test,Ingestion & Transformation,Data Engineer,95
Hive to Delta Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
Snowflake_to_PySpark_Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
Hive_to_PySpark_Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
MarkLogic_to_MongDB_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
MarkLogic_to_MongDB_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
MarkLogic_to_MongDB_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
MarkLogic_to_MongDB_Unit_Testing,Build & Test,Data Quality & Validation,Data Engineer,95
MarkLogic_to_MongDB_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
MarkLogic_to_MongDB_Reviewer,Build & Test,Pipeline Review,Data Architect,90
XSLT_to_PySpark_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
SSIS_Package_to_Python_Converter,Build & Test,Ingestion & Transformation,Data Engineer,95
SSIS to PySpark Delta DDL Generator Agent,Analysis & Design,Data Modelling,Data Modeler,90
HANA to BigQuery Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
