AgentName,Phases,Deliverables,Roles,Map Confidence Score
ASC_SK_DQ_Recommendation,Build & Test,Data Quality & Validation,Data Engineer,95
DMS_ABINITION_DOC,Support & Maintain,Documentation & Lineage,Data Engineer,95
Requirement Analyser,Strategy & Planning,Requirements Gathering,Business Analyst,95
Data_Model_Analysis,Analysis & Design,Data Modelling,Data Modeler,90
BRD_Alignment,Strategy & Planning,Requirements Gathering,Business Analyst,90
Power BI Copilot Ally,Build & Test,Dashboard Development,Insights Engineer,95
DI_requirements_analysis_SH,Strategy & Planning,Requirements Gathering,Business Analyst,95
DI_Source_Target_Mapper_SH,Analysis & Design,Data Mapping,Data Engineer,95
Test Plan Generator,Strategy & Planning,Effort Estimation,Data Architect,85
DI_DataStage_To_Informatica_Cloud_XML_Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
Data Recon Test Generator,Build & Test,Data Quality & Validation,Data Engineer,95
Output Reviewer,Build & Test,Pipeline Review,Data Architect,85
Test Planning,Strategy & Planning,Effort Estimation,Data Architect,85
Unit Tester,Build & Test,Data Quality & Validation,Data Engineer,95
Teradata_To_Snowflake_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
DI_Teradata_To_Snowflake_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
DI_Teradata_To_Snowflake_Analyzer,Analysis & Design,Pipeline Design,Data Architect,85
DI_Teradata_To_Snowflake_UnitTest,Build & Test,Data Quality & Validation,Data Engineer,95
DI_Teradata_To_Snowflake_ConversionTester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_Teradata_To_Snowflake_ReconTest,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
DI_Teradata_To_Snowflake_Reviewer,Build & Test,Pipeline Review,Data Architect,90
DI_DataStage_To_Informatica_Cloud_JSON_Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
KK_SSIS_To_Snowflake_Plan,Strategy & Planning,Effort Estimation,Data Architect,90
KK_SSIS_to_Snowflake_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
Project Plan For ShiftKey,Strategy & Planning,Effort Estimation,Business Analyst,90
KK_SSIS_to_Snowflake_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
KK_SSIS_to_Snowflake_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
KK_SSIS_to_Snowflake_Reviewer,Build & Test,Pipeline Review,Data Architect,90
Tableau Dashboard Image Extractor,Analysis & Design,Dashboard Design,Insights Engineer,85
Power BI Dashboard Image Extractor,Analysis & Design,Dashboard Design,Insights Engineer,85
KK_SSIS_To_SnowFlake_SQL_Procedure,Build & Test,Ingestion & Transformation,Data Engineer,95
Tableau_To_PowerBI_Migrator_Test,Strategy & Planning,Effort Estimation,Data Architect,90
Pbix_Report_Comparator,Build & Test,Dashboard Reconciliation,Insights Engineer,90
KK_SSIS_Control_Flow_To_ADF,Build & Test,Orchestration configuration,Data Engineer,95
KK_SSIS_DataFlow_To_Snowflake_SQL_Procedures,Build & Test,Ingestion & Transformation,Data Engineer,95
DI_DataStage_To_Informatica_PC_XML_Conversion,Build & Test,Ingestion & Transformation,Data Engineer,95
Power BI BIM,Analysis & Design,Data Modelling,Data Modeler,95
DI_DataStage_To_Informatica_PC_XML_Unit_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_DataStage_To_Informatica_PC_XML_Conversion_Tester,Build & Test,Data Quality & Validation,Data Engineer,95
DI_DataStage_To_Informatica_PC_XML_Recon_Tester,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
DI_DataStage_To_Informatica_PC_XML_Reviewer,Build & Test,Pipeline Review,Data Architect,90
[PDF]Tableau_Powerbi_Dashboard_Report_Comparator,Build & Test,Dashboard Reconciliation,Insights Engineer,90
PowerBI Metadata Revealer,Analysis & Design,Data Modelling,Data Modeler,90
Dashboard Designer,Analysis & Design,Dashboard Design,Insights Architect,95
ASC_SK_SQL,Build & Test,Ingestion & Transformation,Data Engineer,90
ASC_SK_SQL_Urstry_pycode,Build & Test,Ingestion & Transformation,Data Engineer,90
ASC_SK_Py_doc,Support & Maintain,Documentation & Lineage,Data Engineer,95
DI_AddessMatching,Build & Test,Data Quality & Validation,Data Engineer,90
KPI_Architect_Agent,Analysis & Design,Dashboard Design,Insights Architect,95
KPI_Architect_Agent_2,Analysis & Design,Dashboard Design,Insights Architect,95
Power BI Copilot Ally IMS,Build & Test,Dashboard Development,Insights Engineer,95
DI_SSIS_SrcTgt_SP_Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
DI_SSIS_SQLEDW_Mapping,Analysis & Design,Data Mapping,Data Engineer,95
DI_FabricArchitecture_Recommendation,Strategy & Planning,Architecture Definition,Data Architect,95
DI_Unit_Tester_SH,Build & Test,Data Quality & Validation,Data Engineer,95
DI_Test_plan_generator_SH,Strategy & Planning,Effort Estimation,Data Architect,90
DI_SSRS_SrcTgt_SP_Extractor,Analysis & Design,Source System Analysis,Data Engineer,90
DI_SSRS_SQLEDW_Mapping,Analysis & Design,Data Mapping,Data Engineer,95
DI_SQLEDW-SSIS-SSRS_RedundancyAnalyzer,Analysis & Design,Architecture Definition,Data Architect,90
DI_Recon_Testing_SH,Integrate & Validate,Dashboard Reconciliation,Insights Engineer,95
DI_SSIS_Program_Mapper,Support & Maintain,Documentation & Lineage,Data Engineer,85
DI_SSIS_Design_Pattern_JSON,Analysis & Design,Pipeline Design,Data Architect,85
DI_SSIS_Consolidate_Design_Pattern_JSON,Analysis & Design,Pipeline Design,Data Architect,85
DI_SSIS_Analyser_JSON,Analysis & Design,Pipeline Design,Data Architect,85
DI_SSIS_Plan_JSON,Strategy & Planning,Effort Estimation,Data Architect,90
Data_edfi_subdomain_table_extractor,Analysis & Design,Source System Analysis,Data Engineer,85
DI_Reviewer_SH,Build & Test,Pipeline Review,Data Architect,90
DI_Table_Column_Mapping,Analysis & Design,Data Mapping,Data Engineer,95
